Wavelength (nm) - Measure	Measured Reflectance (%)  - Measure	Wavelength (nm) - Fit	Theorical Reflectance (0..1) - Fit	Wavelength (nm) - Tracé 2	Theorical Reflectance (0..1) - Tracé 2
432.04	138	399.75	0.926069	1.38	
432.41	133.962	400.75	0.935643	1.33962	
432.78	127.778	401.75	0.944866	1.27778	
433.15	111.475	402.75	0.953722	1.11475	
433.52	126.316	403.75	0.962109	1.26316	
433.89	122.414	404.75	0.969853	1.22414	
434.26	115.517	405.75	0.976451	1.15517	
434.63	117.857	406.75	0.985572	1.17857	
435	118.182	407.75	0.99053	1.18182	
435.37	108.772	408.75	0.994506	1.08772	
435.74	96.875	409.75	0.997336	0.96875	
436.11	108.065	410.75	0.999194	1.08065	
436.48	113.793	411.75	1	1.13793	
436.85	92.424	412.75	0.999759	0.92424	
437.22	90.625	413.75	0.998347	0.90625	
437.59	98.276	414.75	0.995898	0.98276	
437.96	101.562	415.75	0.992289	1.01562	
438.33	82.609	416.75	0.98732	0.82609	
438.69	80.263	417.75	0.981065	0.80263	
439.06	92.063	418.75	0.974045	0.92063	
439.43	92.063	419.75	0.966108	0.92063	
439.8	79.104	420.75	0.957155	0.79104	
440.17	85.938	421.75	0.947221	0.85938	
440.54	78.947	422.75	0.936552	0.78947	
440.91	79.452	423.75	0.925026	0.79452	
441.28	72.857	424.75	0.912875	0.72857	
441.65	72.368	425.75	0.900075	0.72368	
442.02	75.641	426.75	0.886792	0.75641	
442.39	77.333	427.75	0.869509	0.77333	
442.76	75.641	428.75	0.855163	0.75641	
443.13	77.465	429.75	0.840607	0.77465	
443.5	71.084	430.75	0.825906	0.71084	
443.87	64.865	431.75	0.811232	0.64865	
444.24	62.821	432.75	0.79661	0.62821	
444.61	62.353	433.75	0.78229	0.62353	
444.98	63.333	434.75	0.768229	0.63333	
445.34	69.231	435.75	0.754705	0.69231	
445.71	67.045	436.75	0.741864	0.67045	
446.08	63.529	437.75	0.729567	0.63529	
446.45	70	438.75	0.715807	0.7	
446.82	59.302	439.75	0.705859	0.59302	
447.19	64.706	440.75	0.696726	0.64706	
447.56	67.045	441.75	0.688759	0.67045	
447.93	60.87	442.75	0.682016	0.6087	
448.3	64.773	443.75	0.676649	0.64773	
448.67	74.725	444.75	0.672325	0.74725	
449.04	61.111	445.75	0.669411	0.61111	
449.41	65.263	446.75	0.667736	0.65263	
449.78	61.702	447.75	0.667275	0.61702	
450.15	67.708	448.75	0.667996	0.67708	
450.52	64	449.75	0.669825	0.64	
450.88	60.396	450.75	0.672969	0.60396	
451.25	75.962	451.75	0.679399	0.75962	
