Wavelength (nm) - Measure	Measured Reflectance (%)  - Measure	Wavelength (nm) - Fit	Theorical Reflectance (0..1) - Fit
466.75	142.857	311.75	1
467.12	147.879	312.75	0.996883
467.48	155.063	313.75	0.993768
467.85	143.114	314.75	0.990824
468.22	149.693	315.75	0.988094
468.59	144.633	316.75	0.985503
468.96	144.318	317.75	0.982806
469.33	153.333	318.75	0.981661
469.69	148.889	319.75	0.979438
470.06	150.877	320.75	0.977376
470.43	145.946	321.75	0.975282
470.8	152.247	322.75	0.973405
471.17	158.286	323.75	0.971671
471.54	139.512	324.75	0.970099
471.9	145.833	325.75	0.968538
472.27	150	326.75	0.967151
472.64	146.939	327.75	0.965767
473.01	158.101	328.75	0.965194
473.38	148.485	329.75	0.964477
473.74	146.465	330.75	0.96341
474.11	141.148	331.75	0.962525
474.48	152.736	332.75	0.961632
474.85	146.154	333.75	0.960716
475.22	148.095	334.75	0.960005
475.58	144.811	335.75	0.959278
475.95	148.585	336.75	0.958729
476.32	145.833	337.75	0.958241
476.69	150.226	338.75	0.957792
477.05	150.233	339.75	0.95844
477.42	146.018	340.75	0.957927
477.79	142.544	341.75	0.95765
478.16	144.681	342.75	0.957395
478.52	146.186	343.75	0.957233
478.89	153.275	344.75	0.957046
479.26	147.679	345.75	0.956982
479.63	154.545	346.75	0.95684
479.99	153.361	347.75	0.956799
480.36	146.185	348.75	0.956885
480.73	143.75	349.75	0.956894
481.1	145.174	350.75	0.958039
481.46	149.802	351.75	0.958018
481.83	142.066	352.75	0.958052
482.2	144.569	353.75	0.958156
482.57	145.926	354.75	0.958321
482.93	141.516	355.75	0.958676
483.3	145.357	356.75	0.958782
483.67	144.876	357.75	0.959067
484.03	140.878	358.75	0.959329
484.4	146.102	359.75	0.959562
484.77	144.667	360.75	0.959771
485.14	147.176	361.75	0.959928
485.5	144.771	362.75	0.960329
485.87	156.419	363.75	0.961589
486.24	140.491	364.75	0.961816
486.6	150.316	365.75	0.962133
486.97	143.807	366.75	0.962354
487.34	142.216	367.75	0.962575
487.7	146.567	368.75	0.962951
488.07	144.126	369.75	0.963235
488.44	145.533	370.75	0.963526
488.8	144.928	371.75	0.96399
489.17	146.154	372.75	0.964252
489.54	144.598	373.75	0.964507
489.9	141.803	374.75	0.964836
490.27	143.207	375.75	0.965205
490.63	141.304	376.75	0.966282
491	141.892	377.75	0.966576
491.37	141.053	378.75	0.96683
491.73	141.71	379.75	0.967058
492.1	140.779	380.75	0.967252
492.47	145.052	381.75	0.967648
492.83	146.174	382.75	0.96775
493.2	142.377	383.75	0.968097
493.56	138.903	384.75	0.968405
493.93	143.367	385.75	0.968424
494.3	147.074	386.75	0.968645
494.66	142.132	387.75	0.968852
495.03	144.935	388.75	0.969074
495.39	149.361	389.75	0.969399
495.76	142.432	390.75	0.969489
496.12	141.791	391.75	0.970302
496.49	141.22	392.75	0.970308
496.86	141.832	393.75	0.970501
497.22	139.183	394.75	0.970671
497.59	141.304	395.75	0.970684
497.95	138.863	396.75	0.970832
498.32	140.191	397.75	0.970945
498.68	134.895	398.75	0.971009
499.05	139.467	399.75	0.970992
499.41	142.118	400.75	0.970943
499.78	140.338	401.75	0.97091
500.14	141.33	402.75	0.971062
500.51	140.33	403.75	0.970939
500.87	134.023	404.75	0.971045
501.24	136.782	405.75	0.970868
501.6	133.713	406.75	0.970916
501.97	140.698	407.75	0.97093
502.33	142.29	408.75	0.971148
502.7	137.559	409.75	0.971065
503.06	137.327	410.75	0.970979
503.43	138.041	411.75	0.970865
503.79	139.726	412.75	0.970723
504.16	140.888	413.75	0.970553
504.52	136.818	414.75	0.970358
504.88	131.947	415.75	0.970133
505.25	137.585	416.75	0.970023
505.61	132.895	417.75	0.969843
505.98	138.427	418.75	0.96954
506.34	137.225	419.75	0.969424
