Lambda	Reflectivite
340.93	0
341.29	71.429
341.65	160
342.01	200
342.37	100
342.73	150
343.08	0
343.44	600
343.8	150
344.16	-50
344.52	-300
344.88	12.5
345.25	16.667
345.61	100
345.97	-500
346.33	25
346.69	0
347.05	200
347.41	-300
347.77	120
348.13	-50
348.49	-100
348.85	-60
349.21	180
349.57	25
349.94	0
350.3	-100
350.66	-150
351.02	0
351.38	100
351.74	25
352.1	50
352.47	60
352.83	27.273
353.19	200
353.55	-400
353.91	200
354.27	-100
354.64	0
355	100
355.36	-33.333
355.72	100
356.09	0
356.45	200
356.81	166.667
357.17	400
357.54	0
357.9	71.429
358.26	-166.667
358.62	0
358.99	0
359.35	-700
359.71	0
360.08	0
360.44	-100
360.8	600
361.17	0
361.53	0
361.89	-100
362.26	0
362.62	0
362.98	60
363.35	75
363.71	0
364.07	25
364.44	0
364.8	60
365.16	50
365.53	0
365.89	50
366.26	0
366.62	-100
366.98	66.667
367.35	0
367.71	71.429
368.08	-50
368.44	100
368.81	66.667
369.17	0
369.54	0
369.9	25
370.26	200
370.63	25
370.99	140
371.36	166.667
371.72	80
372.09	-25
372.45	-200
372.82	-125
373.18	0
373.55	0
373.91	100
374.28	33.333
374.64	50
375.01	0
375.37	66.667
375.74	120
376.11	0
376.47	66.667
376.84	60
377.2	100
377.57	-33.333
377.93	0
378.3	150
378.66	500
379.03	-66.667
379.4	100
379.76	166.667
380.13	-25
380.49	0
380.86	0
381.23	25
381.59	-100
381.96	66.667
382.33	66.667
382.69	500
383.06	71.429
383.42	-50
383.79	60
384.16	40
384.52	0
384.89	20
385.26	150
385.62	33.333
385.99	-33.333
386.36	-50
386.72	55.556
387.09	0
387.46	160
387.82	200
388.19	-200
388.56	75
388.92	66.667
389.29	66.667
389.66	-200
390.03	500
390.39	0
390.76	25
391.13	0
391.49	-66.667
391.86	0
392.23	50
392.6	40
392.96	25
393.33	28.571
393.7	133.333
394.07	0
394.43	0
394.8	25
395.17	40
395.54	0
395.9	20
396.27	0
396.64	-20
397.01	85.714
397.37	-50
397.74	22.222
398.11	30
398.48	33.333
398.85	22.222
399.21	57.143
399.58	9.091
399.95	0
400.32	0
400.69	-200
401.05	33.333
401.42	36.364
401.79	57.143
402.16	85.714
402.53	71.429
402.89	55.556
403.26	58.333
403.63	0
404	44.444
404.37	5
404.74	30
405.1	20
405.47	0
405.84	-14.286
406.21	17.647
406.58	63.636
406.95	33.333
407.32	13.333
407.68	43.75
408.05	0
408.42	44.444
408.79	50
409.16	26.316
409.53	54.545
409.9	33.333
410.26	44.444
410.63	62.5
411	38.462
411.37	14.286
411.74	42.857
412.11	42.857
412.48	47.059
412.85	21.429
413.21	44.444
413.58	26.667
413.95	36.364
414.32	64.706
414.69	33.333
415.06	10.526
415.43	23.529
415.8	40
416.17	47.059
416.54	41.176
416.9	47.368
417.27	45
417.64	50
418.01	50
418.38	23.81
418.75	45.833
419.12	30
419.49	39.13
419.86	16.667
420.23	25
420.6	15.789
420.96	26.923
421.33	21.053
421.7	17.857
422.07	41.667
422.44	36.364
422.81	28.571
423.18	25
423.55	30.303
423.92	29.73
424.29	12.5
424.66	45.455
425.03	22.5
425.4	30.303
425.77	29.268
426.13	21.622
426.5	37.5
426.87	37.5
427.24	25.641
427.61	33.333
427.98	40
428.35	27.907
428.72	28.205
429.09	19.565
429.46	37.209
429.83	41.86
430.2	40.476
430.57	39.535
430.94	48.889
431.31	34.783
431.68	28.571
