Temps (s),Angle (rad)
0,0.329867229
0.005,0.298451302
0.013192,0.267035376
0.021384,0.235619449
0.028552,0.204203522
0.036744,0.175929189
0.044936,0.144513262
0.053128,0.113097336
0.06132,0.081681409
0.068488,0.0502654825
0.07668,0.0188495559
0.084872,-0.0125663706
0.093064,-0.0439822972
0.101256,-0.0753982237
0.108424,-0.10681415
0.116616,-0.138230077
0.124808,-0.169646003
0.133,-0.20106193
0.141192,-0.232477856
0.149384,-0.26075219
0.156552,-0.292168117
0.164744,-0.323584043
0.172936,-0.351858377
0.181128,-0.383274304
0.18932,-0.411548638
0.196488,-0.442964564
0.20468,-0.471238898
0.212872,-0.499513232
0.221064,-0.527787566
0.229256,-0.5560619
0.237448,-0.581194641
0.244616,-0.609468975
0.252808,-0.634601716
0.261,-0.66287605
0.269192,-0.688008791
0.277384,-0.713141532
0.284552,-0.738274274
0.292744,-0.760265422
0.300936,-0.785398163
0.309128,-0.807389312
0.31732,-0.829380461
0.324488,-0.851371609
0.33268,-0.873362758
0.340872,-0.892212314
0.349064,-0.914203462
0.357256,-0.933053018
0.365448,-0.951902574
0.372616,-0.967610537
0.380808,-0.986460093
0.389,-1.00216806
0.397192,-1.01787602
0.405384,-1.03358398
0.412552,-1.04929195
0.420744,-1.06185832
0.428936,-1.07442469
0.437128,-1.08699106
0.44532,-1.09641584
0.453512,-1.10898221
0.46068,-1.11840698
0.468872,-1.12783176
0.477064,-1.13411495
0.485256,-1.14353973
0.493448,-1.14982291
0.500616,-1.1561061
0.508808,-1.15924769
0.517,-1.16238928
0.525192,-1.16553087
0.533384,-1.16867247
0.540552,-1.17181406
0.571272,-1.16867247
0.581512,-1.16553087
0.58868,-1.16238928
0.596872,-1.15924769
0.605064,-1.1561061
0.613256,-1.14982291
0.620424,-1.14353973
0.628616,-1.13411495
0.636808,-1.12783176
0.645,-1.11840698
0.653192,-1.10898221
0.66036,-1.09641584
0.668552,-1.08699106
0.676744,-1.07442469
0.684936,-1.06185832
0.693128,-1.04929195
0.700296,-1.03358398
0.708488,-1.01787602
0.71668,-1.00216806
