% Pendules couplés  |  Laboratoire de physique  |  hepia
% 25-Nov-2025 09:36:19
%
% Temps (s),Angle 1 (rad),Angle 2 (rad),Angle 3 (rad)
0,0,0,-0.227765467
0.008,0,0,-0.227765467
0.016,0,0,-0.227765467
0.024,0,0,-0.227765467
0.032,0,0,-0.227765467
0.04,0,0,-0.227765467
0.048,0,0,-0.227765467
0.056,0,0,-0.227765467
0.064,0,0,-0.227765467
0.072,0,0,-0.227765467
0.08,0,0,-0.227765467
0.088,0,0,-0.227765467
0.096,0,0,-0.227765467
0.104,0,0,-0.227765467
0.112,0,0,-0.227765467
0.12,0,0,-0.227765467
0.128,0,0,-0.227765467
0.136,0,0,-0.227765467
0.144,0,0,-0.227765467
0.152,0,0,-0.227765467
0.16,0,0,-0.227765467
0.168,0,0,-0.227765467
0.176,0,0,-0.227765467
0.184,0,0,-0.227765467
0.192,0,0,-0.227765467
0.2,0,0,-0.227765467
0.208,0,0,-0.227765467
0.216,0,0,-0.227765467
0.224,0,0,-0.227765467
0.232,0,0,-0.227765467
0.24,0,0,-0.227765467
0.248,0,0,-0.227765467
0.256,0,0,-0.227765467
0.264,0,0,-0.227765467
0.272,0,0,-0.227765467
0.28,0,0,-0.227765467
0.288,0,0,-0.227765467
0.296,0,0,-0.227765467
0.304,0,0,-0.227765467
0.312,0,0,-0.227765467
0.32,0,0,-0.227765467
0.328,0,0,-0.227765467
0.336,0,0,-0.227765467
0.344,0,0,-0.227765467
0.352,0,0,-0.227765467
0.36,0,0,-0.227765467
0.368,0,0,-0.227765467
0.376,0,0,-0.227765467
0.384,0,0,-0.227765467
0.392,0,0,-0.227765467
0.4,0,0,-0.227765467
0.408,0,0,-0.227765467
0.416,0,0,-0.227765467
0.424,0,0,-0.227765467
0.432,0,0,-0.227765467
0.44,0,0,-0.227765467
0.448,0,0,-0.227765467
0.456,0,0,-0.227765467
0.464,0,0,-0.227765467
0.472,0,0,-0.227765467
0.48,0,0,-0.227765467
0.488,0,0,-0.227765467
0.496,0,0,-0.227765467
0.504,0,0,-0.227765467
0.512,0,0,-0.227765467
0.52,0,0,-0.227765467
0.528,0,0,-0.227765467
0.536,0,0,-0.227765467
0.544,0,0,-0.227765467
0.552,0,0,-0.227765467
0.56,0,0,-0.227765467
0.568,0,0,-0.227765467
0.576,0,0,-0.227765467
0.584,0,0,-0.227765467
0.592,0,0,-0.227765467
0.6,0,0,-0.227765467
0.608,0,0,-0.226194671
0.616,0,0,-0.226194671
0.624,0,0,-0.226194671
0.632,0,0,-0.226194671
0.64,0,0,-0.226194671
0.648,0,0,-0.226194671
0.656,0,0,-0.226194671
0.664,0,0,-0.226194671
0.672,0,0,-0.226194671
0.68,0,0,-0.226194671
0.688,0,0,-0.226194671
0.696,0,0,-0.226194671
0.704,0,0,-0.226194671
0.712,0,0,-0.226194671
0.72,0,0,-0.226194671
0.728,0,0,-0.226194671
0.736,0,0,-0.226194671
0.744,0,0,-0.226194671
0.752,0,0,-0.226194671
0.76,0,0,-0.226194671
0.768,0,0,-0.226194671
0.776,0,0,-0.226194671
0.784,0,0,-0.226194671
0.792,0,0,-0.226194671
0.8,0,0,-0.226194671
0.808,0,0,-0.226194671
0.816,0,0,-0.226194671
0.824,0,0,-0.226194671
0.832,0,0,-0.226194671
0.84,0,0,-0.226194671
0.848,0,0,-0.226194671
0.856,0,0,-0.226194671
0.864,0,0,-0.226194671
0.872,0,0,-0.226194671
0.88,0,0,-0.226194671
0.888,0,0,-0.226194671
0.896,0,0,-0.226194671
0.904,0,0,-0.226194671
0.912,0,0,-0.226194671
0.92,0,0,-0.226194671
0.928,0,0,-0.226194671
0.936,0,0,-0.226194671
0.944,0,0,-0.226194671
0.952,0,0,-0.226194671
0.96,0,0,-0.226194671
0.968,0,0,-0.226194671
0.976,0,0,-0.226194671
0.984,0,0,-0.226194671
0.992,0,0,-0.226194671
1,0,0,-0.226194671
1.008,0,0,-0.226194671
1.016,0,0,-0.226194671
1.024,0,0,-0.226194671
1.032,0,0,-0.226194671
1.04,0,0,-0.226194671
1.048,0,0,-0.226194671
1.056,0,0,-0.226194671
1.064,0,0,-0.226194671
1.072,0,0,-0.226194671
1.08,0,0,-0.226194671
1.088,0,0,-0.226194671
1.096,0,0,-0.226194671
1.104,0,0,-0.226194671
1.112,0,0,-0.226194671
1.12,0,0,-0.226194671
1.128,0,0,-0.226194671
1.136,0,0,-0.226194671
1.144,0,0,-0.226194671
1.152,0,0,-0.226194671
1.16,0,0,-0.226194671
1.168,0,0,-0.226194671
1.176,0,0,-0.226194671
1.184,0,0,-0.226194671
1.192,0,0,-0.226194671
1.2,0,0,-0.226194671
1.208,0,0,-0.226194671
1.216,0,0,-0.224623875
1.224,0,0,-0.224623875
1.232,0,0,-0.223053078
1.24,0,0,-0.221482282
1.248,0,0,-0.218340689
1.256,0,0,-0.215199097
1.264,0,0,-0.2136283
1.272,0,0,-0.208915911
1.28,0,0,-0.205774319
1.288,0,0,-0.20106193
1.296,0,0,-0.196349541
1.304,0,0,-0.191637152
1.312,0,0,-0.185353967
1.32,0,0,-0.179070781
1.328,0,0,-0.172787596
1.336,0,0,-0.166504411
1.344,0,0,-0.158650429
1.352,0,0,-0.150796447
1.36,0,0,-0.142942466
1.368,0,0,-0.135088484
1.376,0,0,-0.125663706
1.384,0,0,-0.117809725
1.392,0,0,-0.108384947
1.4,0,0,-0.0989601686
1.408,0,0,-0.0895353906
1.416,0,0,-0.0785398163
1.424,0,0,-0.0691150384
1.432,0,0,-0.0581194641
1.44,0,0,-0.0486946861
1.448,0,0,-0.0376991118
1.456,0,0,-0.0267035376
1.464,0,0,-0.0172787596
1.472,0,0,-0.00628318531
1.48,0,0,0.00471238898
1.488,0,0,0.0157079633
1.496,0,0,0.0267035376
1.504,0,0,0.0361283155
1.512,0,0,0.0471238898
1.52,0,0,0.0581194641
1.528,0,0,0.0675442421
1.536,0,0,0.0785398163
1.544,0,0,0.0879645943
1.552,0,0,0.0973893723
1.56,0,0,0.10681415
1.568,0,0,0.116238928
1.576,0,0,0.125663706
1.584,0,0,0.133517688
1.592,0,0,0.142942466
1.6,0,0,0.150796447
1.608,0,0,0.158650429
1.616,0,0,0.164933614
1.624,0,0,0.172787596
1.632,0,0,0.179070781
1.64,0,0,0.185353967
1.648,0,0,0.190066356
1.656,0,0,0.196349541
1.664,0,0,0.20106193
1.672,0,0,0.205774319
1.68,0,0,0.208915911
1.688,0,0,0.212057504
1.696,0,0,0.215199097
1.704,0,0,0.218340689
1.712,0,0,0.219911486
1.72,0,0,0.221482282
1.728,0,0,0.221482282
1.736,0,0,0.223053078
1.744,0,0,0.223053078
1.752,0,0,0.221482282
1.76,0,0,0.219911486
1.768,0,0,0.219911486
1.776,0,0,0.216769893
1.784,0,0,0.215199097
1.792,0,0,0.212057504
1.8,0,0,0.207345115
1.808,0,0,0.204203522
1.816,0,0,0.199491134
1.824,0,0,0.194778745
1.832,0,0,0.188495559
1.84,0,0,0.18378317
1.848,0,0,0.177499985
1.856,0,0,0.169646003
1.864,0,0,0.163362818
1.872,0,0,0.155508836
1.88,0,0,0.147654855
1.888,0,0,0.139800873
1.896,0,0,0.131946891
1.904,0,0,0.122522113
1.912,0,0,0.113097336
1.92,0,0,0.103672558
1.928,0,0,0.0942477796
1.936,0,0,0.0848230016
1.944,0,0,0.0753982237
1.952,0,0,0.0659734457
1.96,0,0,0.0549778714
1.968,0,0,0.0439822972
1.976,0,0,0.0345575192
1.984,0,0,0.0235619449
1.992,0,0,0.0125663706
2,0,0,0.00314159265
2.008,0,0,-0.00785398163
2.016,0,0,-0.0188495559
2.024,0,0,-0.0282743339
2.032,0,0,-0.0392699082
2.04,0,0,-0.0502654825
2.048,0,0,-0.0596902604
2.056,0,0,-0.0706858347
2.064,0,0,-0.0801106127
2.072,0,0,-0.0895353906
2.08,0,0,-0.0989601686
2.088,0,0,-0.108384947
2.096,0,0,-0.117809725
2.104,0,0,-0.127234502
2.112,0,0,-0.135088484
2.12,0,0,-0.142942466
2.128,0,0,-0.150796447
2.136,0,0,-0.158650429
2.144,0,0,-0.164933614
2.152,0,0,-0.172787596
2.16,0,0,-0.179070781
2.168,0,0,-0.185353967
2.176,0,0,-0.190066356
2.184,0,0,-0.194778745
2.192,0,0,-0.199491134
2.2,0,0,-0.204203522
2.208,0,0,-0.207345115
2.216,0,0,-0.210486708
2.224,0,0,-0.2136283
2.232,0,0,-0.215199097
