Temps (s),Angle (rad)
0,0.292168117
0.006348,0.267035376
0.01454,0.241902634
0.022732,0.216769893
0.0299,0.191637152
0.038092,0.166504411
0.046284,0.141371669
0.054476,0.113097336
0.062668,0.0879645943
0.069836,0.0628318531
0.078028,0.0345575192
0.08622,0.00942477796
0.094412,-0.0188495559
0.102604,-0.0439822972
0.110796,-0.0691150384
0.117964,-0.0973893723
0.126156,-0.122522113
0.134348,-0.147654855
0.14254,-0.172787596
0.150732,-0.20106193
0.1579,-0.226194671
0.166092,-0.251327412
0.174284,-0.276460154
0.182476,-0.301592895
0.190668,-0.326725636
0.19886,-0.351858377
0.206028,-0.376991118
0.21422,-0.398982267
0.222412,-0.424115008
0.230604,-0.449247749
0.238796,-0.471238898
0.245964,-0.493230047
0.254156,-0.518362788
0.262348,-0.540353936
0.27054,-0.562345085
0.277708,-0.584336234
0.2859,-0.603185789
0.294092,-0.625176938
0.302284,-0.644026494
0.309452,-0.66287605
0.317644,-0.684867198
0.325836,-0.703716754
0.334028,-0.72256631
0.34222,-0.738274274
0.349388,-0.75712383
0.35758,-0.772831793
0.365772,-0.788539756
0.373964,-0.804247719
0.382156,-0.819955683
0.389324,-0.835663646
0.397516,-0.848230016
0.405708,-0.860796387
0.4139,-0.873362758
0.422092,-0.885929128
0.430284,-0.898495499
0.437452,-0.907920277
0.445644,-0.917345055
0.453836,-0.926769833
0.462028,-0.936194611
0.47022,-0.945619389
0.477388,-0.951902574
0.48558,-0.958185759
0.493772,-0.967610537
0.501964,-0.97075213
0.510156,-0.977035315
0.518348,-0.980176908
0.525516,-0.983318501
0.533708,-0.986460093
0.5419,-0.989601686
0.553164,-0.992743279
0.574668,-0.989601686
0.590028,-0.986460093
0.599244,-0.983318501
0.606412,-0.980176908
0.61358,-0.977035315
0.621772,-0.973893723
0.629964,-0.967610537
0.638156,-0.961327352
0.646348,-0.955044167
0.653516,-0.948760981
0.661708,-0.939336203
0.6699,-0.929911425
0.678092,-0.920486648
0.68526,-0.91106187
0.693452,-0.898495499
0.701644,-0.889070721
0.709836,-0.87650435
0.718028,-0.86393798
0.725196,-0.851371609
0.733388,-0.838805239
0.74158,-0.823097275
0.749772,-0.807389312
0.757964,-0.791681349
0.766156,-0.775973385
0.773324,-0.760265422
0.781516,-0.744557459
0.789708,-0.725707903
0.7979,-0.706858347
0.805068,-0.691150384
0.81326,-0.672300828
0.821452,-0.653451272
0.829644,-0.631460123
0.837836,-0.612610567
0.846028,-0.590619419
0.853196,-0.56862827
0.861388,-0.549778714
0.86958,-0.527787566
0.877772,-0.505796417
0.885964,-0.480663676
0.893132,-0.458672527
0.901324,-0.436681379
0.909516,-0.411548638
0.917708,-0.389557489
0.9259,-0.364424748
0.933068,-0.339292007
0.94126,-0.314159265
0.949452,-0.289026524
0.957644,-0.267035376
0.965836,-0.238761042
0.974028,-0.2136283
0.981196,-0.188495559
0.989388,-0.163362818
0.99758,-0.138230077
1.005772,-0.113097336
1.013964,-0.0879645943
1.022156,-0.0628318531
1.029324,-0.0345575192
1.037516,-0.00942477796
1.045708,0.0157079633
1.0539,0.0408407045
1.062092,0.0659734457
1.06926,0.0942477796
1.077452,0.119380521
1.085644,0.144513262
1.093836,0.169646003
1.102028,0.194778745
1.11022,0.219911486
1.117388,0.245044227
1.12558,0.270176968
1.133772,0.295309709
1.141964,0.317300858
1.150156,0.342433599
1.158348,0.36756634
1.165516,0.389557489
1.173708,0.41469023
1.1819,0.436681379
1.190092,0.458672527
1.198284,0.483805269
1.205452,0.505796417
1.213644,0.527787566
1.221836,0.549778714
1.230028,0.56862827
1.23822,0.590619419
1.246412,0.609468975
1.25358,0.631460123
1.261772,0.650309679
1.269964,0.669159235
1.278156,0.688008791
1.286348,0.706858347
1.293516,0.72256631
1.301708,0.741415866
1.3099,0.75712383
1.318092,0.772831793
1.326284,0.788539756
1.333452,0.804247719
1.341644,0.819955683
1.349836,0.832522053
1.358028,0.845088424
1.36622,0.860796387
1.374412,0.873362758
1.38158,0.882787536
1.389772,0.895353906
1.397964,0.904778684
1.406156,0.914203462
1.414348,0.92362824
1.42254,0.933053018
1.429708,0.942477796
1.4379,0.948760981
1.446092,0.958185759
1.454284,0.961327352
1.462476,0.967610537
1.469644,0.973893723
1.477836,0.977035315
1.486028,0.983318501
1.49422,0.986460093
